Description,Quantity,Priority
12 Piece Punch and Chisel Set,12,Routine
4 Piece Pry Bar Set,12,Routine
4-Methylprazole -Fomepizole Antizol-Vet 1.5 ml vial ,12,Routine
6-person Tent ,pallet of 12,Routine
8-person Tent ,pallet of 12,Routine
20-person Tent ,pallet of 12,Routine
24-person Tent ,pallet of 12,Routine
AC Current Detector,box of 25,Routine
Acepromazine- 10mg/ml- 50 ml bottle- Vet use only ,10 bottles,Routine
Acetaminophen- 325mg tablets- PO,50 tablets,Priority
Acetazolamide- 250mg- PO,50 tablets,Priority
Adapter Kit- Air bag- high-pressure,case of 10,Routine
Adapter Kit- Gravity Feed- 5 Gallon Jerrican ,5,Routine
Adapter Kit- Multi fuel,case of 10,Routine
Adapter- 1.5 inchNPT X 1.5 inchNH- fire hose,2,Routine
Adapter- 110 VAC- for Hydraulic Vehicle Rescue,case of 10,Routine
Adapter- Adult/PEDI- CO2 box/25,case of 10,Routine
Adapter- BI-1 concrete- 2 inch diameter,case of 10,Routine
Adapter- Boat Motor Flush,5,Routine
Adapter- Fire Hose- 2-1/2 inch to 1-1/2 inch,case of 10,Routine
Adapter- Fire Hose- 3 inch to 1-1/2 inch,5,Routine
Adapter- Inlet Duct ,case of 10,Routine
Adapter- RoboPak to Genisis/Milwaukee,5,Routine
Adapter- SDS Max to SDS/SDS Plus- Electric Rotary Hammer,case of 10,Routine
Adapter- SDS Max to Spline- Electric Rotary Hammer,5,Routine
Adapter-1.5 inch NST Female to 3/4 inch GHT,case of 10,Routine
Adenosine 6mg/2cc vial,5 vials,Priority
Aero Chamber Spacer Device- or equivalent,case of 10,Routine
Air bag- lifting- high-pressure- Kevlar- 16-20 ton capacity,6,Routine
Air bag- lifting- high-pressure- Kevlar- 28-34 ton capacity,6,Routine
Air bag- lifting- high-pressure- Kevlar- 3 ton capacity,6,Routine
Air bag- lifting- high-pressure- Kevlar- 30-36 ton capacity- rectangular shape,6,Routine
Air bag- lifting- high-pressure- Kevlar- 40-50 ton capacity,6,Routine
Air bag- lifting- high-pressure- Kevlar- 5 ton capacity,6,Routine
Air bag- lifting- high-pressure- Kevlar- 8-15 ton capacity,6,Routine
Air box- portable supplied air system- NIOSH/OSHA ,6,Routine
Air Conditioner- Portable OR Window Type- 110V ,5,Routine
Air Filters- Hydraulic Vehicle Rescue System,box of 10,Routine
Air Filters- Spare- for Boat Motor,box of 10,Routine
Air horn- with hand pump ,box of 10,Routine
Airway- Non-visualized airway- Adult,box of 10,Priority
Airways- Nasopharyngeal- Kit,box of 10,Priority
Airways- Oropharyngeal- Kit,box of 10,Priority
Alarm Device- Audible ,box of 10,Routine
Albuterol- 0.5% Soln- 20mg multi-dose bottles- INHAL ,25 bottles,Priority
Albuterol- 2.5mg unit dose- INHAL,2 boxes,Priority
Albuterol- MDI/Aerosol- INHAL,box of 10,Priority
All Generators- Cords- Adapters are in Logistics Section,box of 10,Priority
Amiodarone HCI -Cordarone 150 mg vial,2 vials,Priority
Amoxicillin/Clavulinic Acid- 875 mg,50 tablets,Priority
Amputation Kit- Each kit ,case of 10,Routine
Anchor- Boat- 18lb- w/Anchor Rope,2,Routine
Anchor- Hilti Undercut- 8/box,box of 10,Routine
Anchors- Masonry 1/4 inchx1-1/4 inch -100 per box,box of 10,Routine
Anchors- Wedge- Concrete- 1/2 inch x 5-1/2 inch,box of 10,Routine
Anchors- Wedge- Concrete- 1/2 inch x 7 inch,box of 10,Routine
Angle Grinder- 5 inch,case of 10,Routine
Animax-  15 ml btl- or equivalent -Panalog- otomax 15 gm,box of 10,Routine
Antacid/Simethicone- PO,box of 10,Routine
Antanna- Ground Plain Array- 10 through 80 Meter,box of 10,Routine
Antenna- 10 Meter -Wire Dipole,box of 10,Routine
Antenna- 15 Meter- Wire Dipole,box of 10,Routine
Antenna- 160 Meter- Wire Dipole,box of 10,Routine
Antenna- 20 Meter- Wire Dipole,box of 10,Routine
Antenna- 40 Meter- Wire Dipole,box of 10,Routine
Antenna- 6 Meter- Wire Dipole,box of 10,Routine
Antenna- 80 Meter- Wire Dipole,box of 10,Routine
Antenna- Off-Center-Fed- Windom 2 through 80 Meter,box of 10,Routine
Antenna- Vertical- 10 through 80 Meter,box of 10,Routine
Antenna- Vertical- 20 through 40 Meter,box of 10,Routine
Antenna- Vertical- 20 through 60 Meter,box of 10,Routine
Antenna- Vertical- 20 through 80 Meter,box of 10,Routine
Antenna- Vertical- 6 through 10 Meter,box of 10,Routine
Antisedan- Injectable -atipamezole HCl,15 vials,Priority
Antivenin-Crotalid 10 ml vials,10 vials,Priority
Apomorphine- 6mg Tabs,100 tablets,Priority
Aprons- Plastic- disposable- light weight- 100/roll,case of 10,Routine
Ascenders- Rope- caming device for ½ inch rope- 5400 lbs ,case of 10,Routine
Ascenders- Rope- Gibbs- caming device for ½ inch rope- 5400 lbs,case of 10,Routine
Ascenders- Rope- Gibbs- caming device for 3/4 inch rope- -5400 lbs ,case of 10,Routine
Aspirin- 325mg tablets- PO,500 tablets,Priority
Atropine 1% eye drop- 5cc bottle,10 bottles,Priority
Atropine eye drops,10 bottles,Priority
Atropine Sulfate 0.4mg/ml- 20cc vial,10 vials,Priority
Atropine Sulfate- 0.1mg/ml- 1mg amps- pre-filled ,10 amps,Priority
Attachments- Hydraulic Rams- Vehicle Rescue System /w case,case of 10,Routine
Awl- Scratch- 100 plus,case of 10,Routine
Axe- flat head- fiberglass handle,box of 10,Routine
Axe- flat head- wood handle,box of 10,Routine
Axe- Pry- -w/ standard claw and leather sheath,box of 10,Routine
Azlthromycin- 500mg tab- PO,50 tablets,Priority
Aztek Elite- Mini 4:1- Rope Kit,case of 10,Routine
Bacitracin Ointment- 15gm tubes- TOP ,10 tubes,Priority
Back Pack- Large -Thomas or Contera or EQ,box of 10,Routine
Backboard Half- confined space immobilization- c-spine,box of 10,Routine
Backboard- Full- w/ vertical lift capability,box of 10,Routine
Backpack/Equipment Vest -for carrying small items,box of 10,Routine
Bag- bio hazard- for medical waste,case of 10,Routine
Bag- Body- with handles and zippers -non-translucent,case of 10,Routine
Bag- Cable 300ft.,case of 10,Routine
Bag- Carry 1000 soft,case of 10,Routine
Bag- Duffel- Mesh- CMC Rescue- Yellow Mesh- 1000 Denier ,box of 10,Routine
Bag- Garbage- Heavy Duty- Large-roll,box of 10,Routine
Bag- Resealable- -sandwich size 50/box,box of 10,Routine
Bag- Rope- for 200ft. - 300ft. rope,box of 10,Routine
Bag- Rope- for 400ft. - 500ft. rope,box of 10,Routine
Bag- Rope- rescue hardware,box of 10,Routine
Bag- Rope- rescue hardware- yellow,box of 10,Routine
Bag- Waterproof- Large- For Handheld Radios- w/Lanyard,box of 10,Routine
Ball cap- black ,box of 25,Routine
Ball cap- green ,box of 25,Routine
Ball cap- light blue ,box of 25,Routine
Ball cap- navy blue ,box of 25,Routine
Ball cap- orange ,box of 25,Routine
Ball cap- purple ,box of 25,Routine
Ball cap- red ,box of 25,Routine
Ball cap- white ,box of 25,Routine
Ball cap- yellow ,box of 25,Routine
Balun- 1:1 Curent,case of 4,Routine
Balun- 12:1 Current,case of 4,Routine
Balun- 16:1 Current,case of 4,Routine
Balun- 2:1 Current,case of 4,Routine
Balun- 4:1 Current,case of 4,Routine
Balun- 5:1 Current,case of 4,Routine
Balun- 6:1 Current,case of 4,Routine
Balun- 9:1 Current,case of 4,Routine
Bandages- Elastic- 3 inch ace wrap,case of 10,Routine
Bandages- Elastic- 6 inch ace wrap,case of 10,Routine
Bandages- Triangular ,case of 10,Routine
Band-Aids- 2 inchx 2 inch- box,case of 10,Routine
Band-Aids- assorted sizes- box,case of 10,Routine
Banding system- with strapping,1,Routine
Bar- Chain saw- 16 inch- spare- w/sprocket,case of 4,Routine
Bar- Chain Saw- Roller Tip,case of 4,Routine
Bar- Chain Saw- Roller Tip- oiler,case of 4,Routine
Bar- Concrete chain saw- 15 inch-,case of 4,Routine
Bar- pry- pinch point  60 inch,case of 4,Routine
Bar- Rope- 600ft.,case of 4,Routine
Bar- wrecking 18 inch,case of 4,Routine
Bar- wrecking 30 inch,case of 4,Routine
Barrier Tape- Fireline printed ,case of 4,Routine
Base- Hinged 12 inch with anchor ring,case of 4,Routine
Base- Hinged 16 inch with anchor ring,case of 4,Routine
Base- Junction- Raker,case of 4,Routine
Base- Rigid- 6 inch ,case of 4,Routine
Base- Swivel- 6 inch,case of 4,Routine
Bath Wipes ,box of 100,Routine
Battery Pack- Aux for Milwaukee cordless tools,case of 4,Routine
Battery Pack- w/ For Hydraulic Vehicle Rescue System,case of 4,Routine
Battery- 18 volt- Spare for Cordless Reciprocating Saw,case of 4,Routine
Battery- 28 VDC Milwauklee 3000mah for Hydraulic Rescue System,case of 4,Routine
Battery- 28 volt- Spare for Cordless Reciprocating Saw,case of 4,Routine
Battery- 9 VOLT ,box of 100,Routine
Battery- AA ,box of 100,Routine
Battery- AAA ,box of 100,Routine
Battery- C ,box of 100,Routine
Battery- D ,box of 100,Routine
Battery- Lithuim- for Defibrillator/Monitor LP 15,box of 36,Routine
Battery- spares- for Nivo Total Station -2 required for each unit,box of 36,Routine
Bed Pan- Fracture,box of 36,Routine
Belt- carpenter- quick disconnects- with 2 pouches,box of 36,Routine
Belts- power rotary saw- 14 inch  ,box of 36,Routine
Betadine Ointment- packets or tubes,case of 10,Routine
Betadine Solution- 8oz bottle,case of 10,Routine
Betagen Spray- 120 ml- antibiotic with steroid spray,case of 10,Routine
Binoculars- 10 x 50 power- waterproof,box of 4,Routine
Binoculars- waterproof                                                              ,box of 4,Routine
BI-Pod Conversion Kit,box of 4,Routine
Bisacodyl- -Dulcolax- 5mg- PO,box of 4,Routine
Bit- 1 inchx11 inch- Flat chisel- Self sharpening,box of 24,Routine
Bit- 1 inchx11 inch- Pointed chisel- Self Sharpning,box of 24,Routine
Bit- 1 inchx19 inch- Flat chisel- Self sharpening,box of 24,Routine
Bit- 1 inchx19 inch- Pointed chisel- Self Sharpning,box of 24,Routine
Bit- Bull Point- 10-14 inch- Electric Rotary Hammer,box of 24,Routine
Bit- Bull point- 14-18 inch Electric Rotary Hammer ,box of 24,Routine
Bit- Bullpoint- 18 inch,box of 24,Routine
Bit- Carbide Tip- 1 1/2 inch x 24 inch- Hydraulic Hammer Drill ,box of 4,Routine
Bit- Carbide Tip- 1 inchx 24 inch- Hydraulic Hammer Drill,box of 4,Routine
Bit- Carbide Tip- 2 inch x 24 inch- Hydraulic Hammer Drill,box of 4,Routine
Bit- Carbide Tipped- 1 inch SDS MAX- Electric Roatary Hammer,box of 4,Routine
Bit- Carbide Tipped- 1/2 inch- SDS MAX- Electric Rotary Hammer,box of 4,Routine
Bit- Carbide tipped- 1/2 inch- 14-22 inch Length-   Rotary Hammer,box of 4,Routine
Bit- Carbide Tipped- 1-1/2 inch- SDS MAX- Electric Rotary Hammer-,box of 4,Routine
Bit- Carbide Tipped- 3/4 inch- SDS MAX Electric Rotary Hammer,box of 4,Routine
Bit- Carbide-tipped- Turbo- 2 5/8 inch- Electric Rotary Hammer ,box of 4,Routine
Bit- Chisel- 1 inch x 14 inch- Hydraulic Breaker,box of 24,Routine
Bit- Chisel- 1 inch x 22 inch- Hydraulic Breaker,box of 24,Routine
Bit- Chisel- 3 inch x 14 inch- Hydraulic Breaker,box of 24,Routine
Bit- Chisel- 3 inch x 22 inch- Hydraulic Breaker,box of 24,Routine
Bit- Coring- Concrete-  2 inch diameter,box of 24,Routine
Bit- Coring- Diamond Faced- 2 inch x 17 inch,box of 24,Routine
Bit- Curved flat 11 inch,box of 24,Routine
Bit- Curved flat- 18 inch,box of 24,Routine
Bit- Curved flat- 8 inch,box of 24,Routine
Bit- Drill- carbide tip- Masonary- set 1/4 inch - 1/2 inch,box of 24,Routine
Bit- Drill- SDS MAX,box of 24,Routine
Bit- Drill- steel- 15 piece set- general purpose- 1/16 inch - 1/2 inch,box of 24,Routine
Bit- Dual cutter- 11 inch,box of 24,Routine
Bit- Flat Chisel Point- 10-14 inch. Electric Rotary Hammer,box of 24,Routine
Bit- Flat Chisel Point- 14-18 inch Electric Rotary Hammer,box of 24,Routine
Bit- Flat face- 18 inch,box of 24,Routine
Bit- Flat- 15ft.,box of 24,Routine
Bit- KeenKut- Hydraulic Breaker,box of 24,Routine
Bit- Moil Point 14 inch- Hydraulic Breaker,box of 24,Routine
Bit- Moil Point- 16 inch- Hydraulic Breaker ,box of 24,Routine
Bit- Pointed- 15 inch,box of 24,Routine
Bit- Ship Auger- 1-1/2 inch,box of 24,Routine
Bit- Ship Auger- 3/4 inch,box of 24,Routine
Bit- T Panel- 11 inch,box of 24,Routine
Bladder- water- gray- 500 Gallon  ,case of 25,Routine
Bladder- water- potable- 500 Gallon  ,case of 25,Routine
Blade- Abrasive- Steel Cutting- 14 inch-  Power Rotary Saw,case of 25,Routine
Blade- Carbide Tip- 14 inch- Gasoline Ring Saw reinforced concrete,case of 25,Routine
Blade- Carbide Tip- 14 inch- power rotary saw,case of 25,Routine
Blade- Circular Saw- Carbide tip  7-1/4 inch- 16 teeth,case of 25,Routine
Blade- Circular Saw- Carbide tip-  10-1/4 inch- 28 teeth,case of 25,Routine
Blade- Circular Saw- Metal Cutting- 8 inch,case of 25,Routine
Blade- Diamond Tip- Concrete Cutting- 14 inch  ,case of 25,Routine
Blade- diamond tip- cutting- 14 inch- power rotary saw,case of 25,Routine
Blade- Hacksaw- 12 inch - 18 tpi- shatterproof,case of 25,Routine
Blade- Hacksaw- 12 inch - 24 tpi- shatterproof,case of 25,Routine
Blade- Laryngoscope- fiberoptic- disposable,case of 25,Routine
Blade- Laryngoscope- fiberoptic- non-disposable,case of 25,Routine
Blade- Premium Diamond for 5 inch angle grinder,case of 25,Routine
Blade- Reciprocating Saw- bi-metal- 6 inch-9 inch- 18-10 tpi  -5/pkg,case of 25,Routine
Blade- Reciprocating Saw- Metal-cutting-  6 inch-9 inch- 5/pkg,case of 25,Routine
Blade- Reciprocating Saw- Wood-cutting- Shatterproof  9 inch 5/pkg,case of 25,Routine
Blade- Reciprocating Saw- Wood-cutting- 12 inch 5/pkg,case of 25,Routine
Blade- Reciprocating Saw- Wood-cutting- 6 inch 5/pkg,case of 25,Routine
Blade- Utility Knife- Spare. 100 per pack,case of 25,Routine
Blade- wood-cutting- 12 inch- Reciprocating Saw -5/pkg,case of 25,Routine
Blade- wood-cutting- shatterproof  9 inch- Reciprocating Saw -5/pkg,case of 25,Routine
Blade-wood-cutting- shatterproof  6 inch- Reciprocating Saw -5/pkg,case of 25,Routine
Blanket- polypro- navy blue or equivalent ,case of 5,Routine
Blankets- Mylar Space or equivalent,case of 5,Routine
Bleach- liquid or granular ,case of 10 ,Routine
Blower- ventilation- for confined space- electric,pallet of 6,Routine
Board- Immobilization- Pediatric- complete w/bag,pallet of 6,Routine
Book- Log- Rope usage,case of 25,Routine
Boot Covers- safety boots- disposable- pair,case of 25,Routine
Boots- Protective- K9- -4 per set-Size Determined by Task Forces,case of 25,Routine
Bottled water ,case of 25,Routine
Bottles- Spray or Misting,case of 25,Routine
Bottles- Spray- 16 oz,case of 25,Routine
Bottles- Spray- 8 oz,case of 25,Routine
box- 3 ft X 2 ft X 1 ft- locking lid,pallet of 6,Routine
box fan ,case of 5,Routine
box- Shipping- for blood draw tubes- with absorbant- 10 per case,pallet of 6,Routine
BP Cuff- adult -Semi-Disposable,case of 25,Routine
BP Cuff- obese/thigh with Manometers,case of 25,Routine
BP Cuff- pediatric -Semi-Disposable,case of 25,Routine
BP Manometers,case of 25,Routine
Bracket- Helmet-  FOR FULL-FACE FACESHIELD -DIALECTRIC,case of 25,Routine
Breaker- hydraulic 45 lb.,pallet of 6,Routine
Breaker- hydraulic- 90 lb.,pallet of 6,Routine
Breathing apparatus- airline-supplied SABA- 4500 PSI,case of 10,Routine
Breathing apparatus- Cylinders spare- 10-minute- 4500 psi,pallet of 6,Routine
Bridle- Litter- Proseries Litter Harness,pallet of 12,Routine
Bridle- Litter- Proseries Litter Harness- med,pallet of 12,Routine
Broom- Push- w/fiberglass handle- 24 inch,pallet of 12,Routine
Brush- Scrub- Sterile- Hibiclens- 30 / box,pallet of 12,Routine
Brushes- Scrub- Plain surgical- 30/box,pallet of 12,Routine
Bucket- collapsible- 12 inch X 17 inch,pallet of 12,Routine
Bucket- plastic- 5 gallon- w/ handle,pallet of 12,Routine
Buoy- Ring-  USCG approved- urethane foam core-Oil/Gas Resistant,pallet of 12,Routine
Bupivacaine 0.5%  30 ml vial,12 vials,Priority
Buretrol Sets,2 boxes,Priority
Butorphanol- 10 mg vial -Torbugesic- 10 mg/ml- -Vet use only,2 vials,Routine
Cable Coiler,Package of 25,Routine
Cable Come a Long 3-Ton- 6000,Package of 25,Routine
Cable- 100ft. with connecters,Package of 25,Routine
Cable- 18 inch expansion w/ connectors,Package of 25,Routine
Cable- 25ft. prob interface cable,Package of 25,Routine
Cable- 50ft.,Package of 25,Routine
Cable- Extension 8ft.- for Reusable Sensor -SpO2- SPCO,Package of 25,Routine
Cable- Intercom- 100 ft. with strain relief and snap hook,Package of 25,Routine
Cable- Operator- 1ft. w/ mute,Package of 25,Routine
Cable- Operator- 20ft. with mute,Package of 25,Routine
Cable- Wire Rope- for Grip Hoist- w/Safety Hooks- 60ft.,Package of 25,Routine
Calcium Chloride- Injection- 10%- 10mg amps- pre-filled,Package of 25,Routine
Calculator- handheld- AA battery powered- w/ tape,box of 24,Routine
Calculator- handheld- AAA battery powered- w/ tape  ,box of 24,Routine
Calculator- scientific ,box of 24,Routine
Camera- Digital- Kit,5 kits,Routine
Camera- digital- water / shock resistant- 16 MP,Package of 5,Routine
Camera- digital- water / shock resistant-  64 MP,Package of 5,Routine
Camera- Search- Mongoose,Package of 5,Routine
Camera- Search- telescoping with color monitor,Package of 5,Routine
Camera- Thermal Imaging- Infrared- Fire Service model,Package of 5,Routine
Can- Fuel- military w/gaskets and caps as appropriate for product,pallet of 24,Routine
Canine Probiotic- 15/box,box of 24,Routine
Canister- Suction- spare ,box of 24,Routine
Cannula- Blunt,box of 24,Priority
Cannula- Nasal O2- Adult,box of 24,Priority
Canteen Cover- White,box of 21,Routine
Canteen Cover- Blue,box of 22,Routine
Canteen Cover- Red,box of 23,Routine
Canteen Cover- Yellow,box of 24,Routine
Carabiner- Aluminum- Quick Release- G Rated,box of 24,Routine
Carabiners- Rope- locking  inchD inch- 10-000 tensile strength,box of 24,Routine
Carabiners- Rope- locking  inchD inch- 15-000 tensile strength,box of 24,Routine
Card stock Emergency Response Services signs ,Package of 25,Routine
Card- Index- ruled- 3 inch x 5 inch -300/pkg,Package of 25,Routine
Card- Index- unruled- 3 inch x 5 inch -300/pkg,Package of 25,Routine
Card- Memory- 16 gigabyte- Digital Camera,Package of 25,Routine
Card- Memory- 16GB- Compact Digital Camera,Package of 25,Routine
Card- Memory- 2-8 gigabyte- Video- digital,Package of 25,Routine
Card- Memory- 32 gigabyte- Digital Camera,Package of 25,Routine
Cardic Monitor- Compact,Package of 25,Routine
Carrier- debris- 4ft. x 4ft.,Package of 25,Routine
Cartridges- Electrolyte monitor-  ,Package of 25,Routine
Cartridges- Electrolyte monitor- portable,Package of 25,Routine
case for 19 feet x 35 feet tent  ,pallet of 6,Routine
case for 20 foot octagon tent  ,pallet of 6,Routine
case- Carrying case Oxygen D cylinder size- deluxe or EQ,pallet of 6,Routine
case- Carrying- Molded,pallet of 6,Routine
case- Protective- Water Resistant- RAD 57 Oxymeter,pallet of 6,Routine
case- Shipping- Hard Shell- for Tripod,pallet of 6,Routine
case- Waterproof- Lifetime Warranty- Yellow with a clear lid,pallet of 6,Routine
case- Protective for LP 15,pallet of 6,Routine
Cast Padding- 3?- 24/pkg ,Package of 25,Routine
Catalog- ICS Forms,case of 10,Routine
Catheter- Adult- Suction with Thumb Port 14FR,case of 10,Priority
Catheter- Adult- Suction Yaunker,case of 10,Priority
Catheter- Foley- Prep Trays and Collection Bags -10 French Ped,case of 10,Priority
